RECORD ID NUMBER,INPUT ADDRESS ,TIGER ADDRESS RANGE MATCH INDICATOR,TIGER MATCH TYPE,TIGER OUTPUT ADDRESS,LONGITUDE ,LATITUDE,TIGERLINE ID,TIGERLINE ID SIDE,STATE CODE,COUNTY CODE,TRACT CODE,BLOCK CODE
Baldwin Hills Branch Library,"2906 S. La Brea Avenue, Los Angeles, 90016",Match,Non_Exact,"2906 S LA BREA AVE, LOS ANGELES, CA, 90016",-118.35261,34.0286009,141601284,L,06,037,219700,3008
Claremont Library,"208 N Harvard Avenue, Claremont , 91711",Match,Non_Exact,"208 N HARVARD AVE, CLAREMONT, CA, 91711",-117.716343,34.09576878,141734671,R,06,037,401902,1038
La Mirada Library,"13800 La Mirada Blvd, La Mirada, 90638",Match,Non_Exact,"13800 LA MIRADA BLVD, LA MIRADA, CA, 90638",-118.0116396,33.90547782,142851925,L,06,037,503602,2017
Sierra Madre Library,"350 W Sierra Madre Blvd, Sierra Madre, 91024",Match,Non_Exact,"350 W SIERRA MADRE BLVD, SIERRA MADRE, CA, 91024",-118.060192,34.16179153,141643439,L,06,037,430502,5001
Frances Howard Goldwyn - Hollywood Regional Library,"1623 Ivar Avenue, Los Angeles, 90028",Match,Non_Exact,"1623 IVAR AVE, LOS ANGELES, CA, 90028",-118.3282214,34.1002195,141594903,L,06,037,190701,1001
Little Tokyo Branch Library,"203 S. Los Angeles Street, Los Angeles, 90012",Match,Non_Exact,"203 S LOS ANGELES ST, LOS ANGELES, CA, 90012",-118.2434416,34.05024215,648177333,R,06,037,207306,1002
Fairfax Branch Library,"161 S. Gardner Street, Los Angeles, 90036",Match,Non_Exact,"161 S GARDNER ST, LOS ANGELES, CA, 90036",-118.3532672,34.07256053,141598642,R,06,037,214501,2000
Woodland Hills Branch Library,"22200 Ventura Boulevard, Woodland Hills, 91364",Match,Non_Exact,"22200 VENTURA BLVD, WOODLAND HILLS, CA, 91364",-118.6104782,34.16869133,141534916,L,06,037,137401,3000
Stevenson Ranch Library,"25950 The Old Road, Stevenson Ranch , 91381",Match,Non_Exact,"25950 THE OLD RD, STEVENSON RANCH, CA, 91381",-118.5739407,34.39266905,142811602,R,06,037,920326,3001
Valley Plaza Branch Library,"12311 Vanowen Street, North Hollywood, 91605",Match,Non_Exact,"12311 VANOWEN ST, NORTH HOLLYWOOD, CA, 91605",-118.4010385,34.19399543,142716703,R,06,037,123301,2002
