TRACT,TRACTFIPS,HWAV_EVNTS,HWAV_RISKV,HWAV_RISKS,HWAV_RISKR
121100,6041121100,15,7027.296087,45.3634115,Relatively Low
121200,6041121200,14.38757496,11337.53809,53.85292299,Relatively Moderate
122000,6041122000,15,4294.054283,37.55172906,Relatively Low
123000,6041123000,3.649034441,0,0,No Rating
124100,6041124100,14.41624725,5706.769863,41.95286115,Relatively Low
124200,6041124200,9.080330859,8606.052115,48.8488798,Relatively Low
125000,6041125000,14.99256198,7553.915926,46.60134139,Relatively Low
126100,6041126100,15,6173.464223,43.20387195,Relatively Low
126200,6041126200,15.00721748,6582.338628,44.27769586,Relatively Low
127000,6041127000,10.53627556,3832.49514,35.90829092,Relatively Low
128100,6041128100,1.000018794,703.4918107,19.71174428,Relatively Low
128200,6041128200,2.159075594,991.6612492,21.75831232,Relatively Low
129000,6041129000,1,349.9387962,17.42853066,Very Low
130201,6041130201,0.9997971541,282.1230259,17.095562,Very Low
130203,6041130203,1,141.9565333,16.39989535,Very Low
130204,6041130204,5.4202684,498.145494,18.2966275,Relatively Low
131100,6041131100,16.79442557,665.0494763,19.42158588,Relatively Low
132100,6041132100,7.331368774,249.1279629,16.92669933,Very Low
132200,6041132200,2.701231551,257.5436396,16.96594206,Very Low
133000,6041133000,13.09983543,2669.763476,31.09213718,Relatively Low
101,6043000101,46.24956343,141103.7859,94.88536365,Relatively High
102,6043000102,48.99187413,77377.3392,89.15949198,Relatively High
200,6043000200,45.33351392,96379.43144,91.67221614,Relatively High
301,6043000301,45,118451.1881,93.55824573,Relatively High
302,6043000302,30.64677431,64791.03205,86.75379346,Relatively High
400,6043000400,11.02380664,7019.126878,45.34319555,Relatively Low
10100,6045010100,17.9334593,5107.740923,40.19645151,Relatively Low
10200,6045010200,12.3804268,3342.320266,34.01869381,Relatively Low
10300,6045010300,6.18135141,85.65634798,16.13589878,Very Low
10400,6045010400,0,0,0,No Rating
10500,6045010500,0,0,0,No Rating
10601,6045010601,15.21957931,2723.98785,31.3133235,Relatively Low
10602,6045010602,16.08240559,3512.67347,34.68463112,Relatively Low
10700,6045010700,17,6980.308692,45.25757504,Relatively Low
10801,6045010801,17.00000068,7277.372598,45.94610665,Relatively Low
10802,6045010802,17.11810425,4875.970263,39.5031632,Relatively Low
10900,6045010900,13.87104835,5878.448759,42.43328735,Relatively Low
11001,6045011001,1.427614065,12.79033767,15.81720021,Very Low
11003,6045011003,0.9090541821,3.974387569,15.73752557,Very Low
11004,6045011004,4.779709971,31.41878167,15.8992532,Very Low
11102,6045011102,4.545542281,47.61065656,15.9717928,Very Low
11200,6045011200,8.118167667,2660.709031,31.04932693,Relatively Low
11300,6045011300,15.99097611,8172.163502,47.95462113,Relatively Low
11400,6045011400,17,3310.546983,33.88550635,Relatively Low
11501,6045011501,17,3177.356734,33.34324311,Relatively Low
11502,6045011502,17,4309.182567,37.61594444,Relatively Low
11600,6045011600,17,6963.171256,45.21000809,Relatively Low
11700,6045011700,17.08437992,8936.743304,49.51719545,Relatively Moderate
11800,6045011800,15.30204976,5165.102952,40.35580079,Relatively Low
201,6047000201,49.19804247,183291.2427,96.44318128,Very High
202,6047000202,52.19397462,71976.97785,88.18080198,Relatively High
204,6047000204,53.00000025,162440.1118,95.77843314,Very High
205,6047000205,53,148337.9106,95.21119726,Very High
301,6047000301,53,199598.8407,96.9045807,Very High
303,6047000303,52.99999529,97780.43938,91.81372782,Relatively High
305,6047000305,52.999999,248986.3905,97.91181087,Very High
306,6047000306,53.00018203,113609.2062,93.19079104,Relatively High
401,6047000401,52.75582784,121586.1558,93.75802692,Relatively High
403,6047000403,45.43160052,125907.3216,94.05413119,Relatively High
404,6047000404,47.32784673,129612.19,94.28245255,Relatively High
503,6047000503,53,196266.3634,96.82966275,Very High
504,6047000504,53,248784.1963,97.905865,Very High
505,6047000505,53.00000094,283199.1149,98.36012938,Very High
601,6047000601,53,212643.3725,97.25300861,Very High
602,6047000602,53,139837.1549,94.82471579,Relatively High
603,6047000603,53,259444.2928,98.07234933,Very High
701,6047000701,53,142233.6858,94.93055225,Relatively High
702,6047000702,53.00000231,171078.8112,96.07810493,Very High
801,6047000801,53,220362.6765,97.41235789,Very High
802,6047000802,53,179815.505,96.34447986,Very High
901,6047000901,52.99999967,669207.4742,99.8275698,Very High
903,6047000903,53,176017.664,96.2338867,Very High
904,6047000904,53,139382.9074,94.79855396,Relatively High
1003,6047001003,53,168780.9339,96.00913285,Very High
1004,6047001004,53,160659.7599,95.7035152,Very High
1005,6047001005,53,94147.52936,91.43200304,Relatively High
1006,6047001006,53,205926.7308,97.09128098,Very High
1007,6047001007,53,86741.00318,90.53179851,Relatively High
1008,6047001008,53,187331.7168,96.59063882,Very High
1101,6047001101,53,194182.5992,96.76901489,Very High
1200,6047001200,53,178614.2366,96.3064263,Very High
1301,6047001301,53,129687.3401,94.2848309,Relatively High
1302,6047001302,53,124316.676,93.93759216,Relatively High
1401,6047001401,53,158713.4103,95.6083813,Very High
1402,6047001402,53,184367.7654,96.48955905,Very High
1501,6047001501,53,56707.30607,84.77738667,Relatively High
1502,6047001502,53,112774.6857,93.12419731,Relatively High
1503,6047001503,53,194218.5266,96.77020406,Very High
1601,6047001601,53,173052.5847,96.13875279,Very High
1603,6047001603,53,137612.6327,94.69747419,Relatively High
1604,6047001604,53,170862.0572,96.06740237,Very High
1700,6047001700,53,281611.2922,98.34823764,Very High
1801,6047001801,53,131839.5591,94.42277506,Relatively High
1901,6047001901,53,241240.2957,97.79170432,Very High
1902,6047001902,53,202939.2385,97.01398468,Very High
2001,6047002001,52.52582321,180968.9111,96.38015507,Very High
2002,6047002002,51.05527643,293005.9347,98.47310089,Very High
2100,6047002100,55.2443686,395735.0961,99.19849688,Very High
2201,6047002201,53,277527.1506,98.2911573,Very High
2203,6047002203,53,235260.3132,97.68467869,Very High
2204,6047002204,53,214073.1919,97.28630547,Very High
2301,6047002301,53,226753.6787,97.53127527,Very High
2303,6047002303,53,256564.1579,98.04856586,Very High
2304,6047002304,53,104789.7044,92.47015174,Relatively High
2305,6047002305,53,192139.2174,96.71906959,Very High
2306,6047002306,53,99104.15613,91.94215859,Relatively High
2401,6047002401,53.00000017,135347.2645,94.5749893,Relatively High
2403,6047002403,53,126938.3013,94.12429244,Relatively High
2404,6047002404,53,173467.304,96.15421205,Very High
2500,6047002500,51.19347194,514700.8182,99.59568092,Very High
2601,6047002601,53,79570.07951,89.51029824,Relatively High
2602,6047002602,53,91895.97792,91.15611473,Relatively High
100,6049000100,8,732.39493,19.92222804,Relatively Low
200,6049000200,8.00007271,3643.441707,35.18646245,Relatively Low
300,6049000300,7.999724727,2070.819372,28.28330876,Relatively Low
400,6049000400,7.999943813,1425.007802,24.62065357,Relatively Low
101,6051000101,0.03254751099,52.35546577,15.99200875,Very Low
102,6051000102,0.03179477297,0.06096291944,15.50087999,Very Low
201,6051000201,0.01344031213,0.05894732921,15.49969081,Very Low
202,6051000202,0.2190821526,0.2526687184,15.58531133,Very Low
101,6053000101,9,4048.636246,36.69909147,Relatively Low
103,6053000103,9,1855.488941,27.16548542,Relatively Low
104,6053000104,9,1485.464798,25.01070256,Relatively Low
105,6053000105,9,867.2110418,20.87951291,Relatively Low
106,6053000106,9,2146.521922,28.64362841,Relatively Low
200,6053000200,9,2744.215235,31.40964658,Relatively Low
300,6053000300,8.481073836,1588.973921,25.670694,Relatively Low
400,6053000400,9,4189.406968,37.17476098,Relatively Low
501,6053000501,9,2175.923247,28.77324835,Relatively Low
502,6053000502,9,2629.519024,30.91257195,Relatively Low
600,6053000600,9,3193.340232,33.40983685,Relatively Low
701,6053000701,9,2958.326064,32.38833658,Relatively Low
702,6053000702,9,2948.556605,32.33363459,Relatively Low
800,6053000800,9,2567.491602,30.62598107,Relatively Low
900,6053000900,9,2665.626482,31.07667792,Relatively Low
1200,6053001200,9,1265.102168,23.66812539,Relatively Low
1300,6053001300,9,1275.985306,23.7263949,Relatively Low
1400,6053001400,9,955.8247763,21.50382914,Relatively Low
1500,6053001500,8.599311392,3474.788871,34.53479522,Relatively Low
1600,6053001600,8.450479576,838.6719931,20.66783998,Relatively Low
1700,6053001700,8.654421412,1889.367572,27.3521857,Relatively Low
1801,6053001801,4.618756348,1175.595895,23.04380916,Relatively Low
1802,6053001802,8.43194017,2505.380671,30.34057937,Relatively Low
10101,6053010101,0.9865785201,1409.200988,24.52076297,Relatively Low
10102,6053010102,1.008397157,409.8408799,17.74485088,Very Low
10202,6053010202,0.998321415,203.6995588,16.70075631,Very Low
10305,6053010305,1.028567109,163.9048055,16.4974076,Very Low
10306,6053010306,1.005556925,1602.384144,25.76701708,Relatively Low
10400,6053010400,1,416.2192435,17.76506683,Very Low
10501,6053010501,8.76667812,4399.103596,37.95723731,Relatively Low
10504,6053010504,1.418856505,2727.436878,31.32759359,Relatively Low
10505,6053010505,9,2390.267375,29.831613,Relatively Low
10506,6053010506,9,2648.932718,30.99462493,Relatively Low
10603,6053010603,9,2712.37858,31.25386481,Relatively Low
10604,6053010604,9,2273.695437,29.30480902,Relatively Low
10605,6053010605,9,1890.773303,27.36050992,Relatively Low
10606,6053010606,15.6674632,44944.60181,80.93159873,Relatively High
10607,6053010607,9,1968.264579,27.75174809,Relatively Low
10608,6053010608,9,1435.564745,24.6872473,Relatively Low
10702,6053010702,21.49652149,6153.400843,43.156305,Relatively Low
10804,6053010804,14.42661877,47170.56697,81.78185797,Relatively High
10900,6053010900,9,1513.364862,25.17718689,Relatively Low
11001,6053011001,23.16985381,1428.824844,24.64324787,Relatively Low
11002,6053011002,30.44880864,1926.323463,27.54364268,Relatively Low
11101,6053011101,27.81953356,50420.05552,82.90681634,Relatively High
11103,6053011103,9,1938.110178,27.60191219,Relatively Low
11104,6053011104,9,1774.49389,26.731437,Relatively Low
11105,6053011105,9,3022.593687,32.64638729,Relatively Low
11106,6053011106,20.42974196,5483.685489,41.31070732,Relatively Low
11202,6053011202,28,12905.06052,56.44294344,Relatively Moderate
11203,6053011203,28,10226.37605,51.93597488,Relatively Moderate
11204,6053011204,25.74935104,149167.6813,95.2456833,Very High
11302,6053011302,28,7606.260264,46.73809637,Relatively Low
11303,6053011303,30.32859137,82769.83457,89.99667031,Relatively High
11305,6053011305,28.00000144,100690.706,92.095562,Relatively High
11306,6053011306,28,4746.559515,39.11073586,Relatively Low
11400,6053011400,29.30502997,174362.6064,96.18037388,Very High
11502,6053011502,25.82465594,666.0404543,19.42396423,Relatively Low
11604,6053011604,21.87701988,711.0056161,19.76406793,Relatively Low
11605,6053011605,2.286516637,225.269824,16.81134947,Very Low
11606,6053011606,13.84544037,1050.424857,22.18284736,Relatively Low
