GEOID,heatrisk_class,Tree Canopy Class
06037271200,0,1
06037701701,0,2
06037271100,0,2
06037271100,0,2
06037271100,0,3
06037267600,0,0
06037267600,0,2
06037267600,0,0
06037701602,1,1
06037267502,0,2
06037267502,0,1
06037267700,0,0
06037267700,0,0
06037701601,0,3
06037267800,0,2
06037267800,0,1
06037267800,0,2
06037219800,0,1
06037219800,0,1
06037219800,0,1
06037219902,1,0
06037219902,1,1
06037219902,1,1
06037270200,0,1
06037270200,0,1
06037270200,0,1
06037269800,0,1
06037269800,0,2
06037269700,1,2
06037269700,1,2
06037269700,1,2
06037269700,1,1
06037218400,1,1
06037218400,1,1
06037218400,1,1
06037218400,1,0
06037270300,0,1
06037270300,0,0
06037270300,0,0
06037269300,0,3
06037269300,0,3
06037269300,0,3
06037269300,0,3
06037269300,0,2
06037218300,1,1
06037218300,1,1
06037218300,1,1
06037218300,1,0
06037218300,1,1
06037269601,0,0
06037269601,0,0
06037269601,0,0
06037218900,2,1
06037218900,2,1
06037218900,2,2
06037221401,1,2
06037221401,1,2
06037221500,1,1
06037221500,1,1
06037218600,0,1
06037218600,0,1
06037218600,0,0
06037218701,0,2
06037218701,0,0
06037218800,0,0
06037218800,0,1
06037218500,0,1
06037218500,0,1
06037221402,1,1
06037221402,1,1
06037221302,1,1
06037221302,1,1
06037218210,1,0
06037218210,1,0
06037218210,1,1
06037221710,0,1
06037221710,0,1
06037221601,1,1
06037221601,1,1
06037224010,1,0
06037224010,1,0
06037221602,0,0
06037221602,0,0
06037221602,0,0
06037224200,0,0
06037224200,0,0
06037224320,1,1
06037224320,1,1
06037221120,1,1
06037221120,1,0
06037269500,0,3
06037269500,0,3
06037269500,0,3
06037269500,0,3
06037269602,0,1
06037269602,0,2
06037269000,1,2
06037269000,1,3
06037269000,1,3
06037269000,1,2
06037269000,1,3
06037216700,0,1
06037216700,0,1
06037216700,0,1
06037217002,1,2
06037217002,1,1
06037217002,1,1
06037217001,0,1
06037217001,0,2
06037217001,0,1
06037269100,1,1
06037269100,1,1
06037269100,1,1
06037269100,1,2
06037224310,0,1
06037224310,0,1
06037221220,1,0
06037221220,1,1
06037221110,1,0
06037221110,1,0
06037210010,1,0
06037210010,1,1
06037210010,1,2
06037209820,1,1
06037209820,1,1
06037209810,0,1
06037209810,0,0
06037213402,2,1
06037213402,2,1
06037213402,2,0
06037209520,0,0
06037209520,0,0
06037218220,1,0
06037218220,1,1
06037218220,1,3
06037221210,0,1
06037221210,0,1
06037218120,1,1
06037218120,1,0
06037218120,1,0
06037218110,1,1
06037218110,1,1
06037221304,1,0
06037221304,1,1
06037221303,0,1
